title,year,listed_in,country,weighted_average_vote,weighted_allgenders_0age,weighted_allgenders_18age,weighted_allgenders_30age,weighted_allgenders_45age,weighted_males_allages,weighted_males_0age,weighted_males_18age,weighted_males_30age,weighted_males_45age,weighted_females_allages,weighted_females_0age,weighted_females_18age,weighted_females_30age,weighted_females_45age
Magnolia,1999,"Dramas, Independent Movies",United States,8,6.074418605,8.136931008,7.985302249,7.658180382,7.988934031,6.040758294,8.219871795,7.982504665,7.649726288,7.650012497,5.926771654,7.614122356,7.618984607,7.374655355
Main Hoon Na,2004,"Action & Adventure, Comedies, Dramas",India,7,5.9234714,7.18149653,6.447730639,6.408840864,6.853759364,5.912871287,7.167109635,6.440077899,6.24075775,6.809090909,5.910169492,6.714442413,6.368325041,6.276012461
Maine Pyaar Kyun Kiya,2005,"Comedies, International Movies, Music & Musicals",India,5.5,5.899401795,5.78722198,5.512089077,5.804490501,5.599280218,5.899201597,5.793501636,5.591058464,5.824637681,5.654785021,5.9000999,5.862008734,5.645847176,5.884629981
Maine Pyar Kiya,1989,"Dramas, International Movies, Music & Musicals",India,7.3,5.90347567,6.752173913,7.125726824,6.051569507,7.125087456,5.901492537,6.726749611,7.099157641,6.003803487,6.532035107,5.902097902,6.13442623,6.371193416,5.974836906
Malaal,2019,"Dramas, International Movies, Romantic Movies",India,5.9,5.898203593,5.9,5.866527893,5.9,5.846950771,5.903096903,5.879372197,5.87167382,5.894985251,5.914814815,5.895104895,5.918403116,5.903194579,5.900990099
Man of Tai Chi,2013,"Action & Adventure, Dramas","United States, China, Hong Kong",6.1,5.906930693,6.237509764,5.994918183,5.9,6.092907298,5.901390268,6.232260796,5.994507004,5.9,6.037441351,5.904187438,5.989621318,6.010554562,5.956218548
Mandi,1983,"Dramas, Independent Movies, International Movies",India,7.6,0,6.04986124,6.335119048,5.938663053,6.41082369,0,6.036067102,6.281148177,5.931336406,6.042541436,0,5.917460317,6.003802281,5.911764706
Maniyarayile Ashokan,2020,"Comedies, International Movies, Romantic Movies",India,4.6,5.895214357,5.742741208,5.763937443,5.899401795,5.60399348,5.895214357,5.753224342,5.772617946,5.899401795,5.895049505,0,5.893419741,5.9,0
Manmadhudu 2,2019,"Comedies, Dramas, International Movies",India,4.8,0,5.749094047,5.744086022,5.893096647,5.620245399,0,5.762379703,5.742741208,5.891295747,5.9,0,5.893048659,5.900596421,5.901197605
Mann,1999,"Dramas, International Movies, Romantic Movies",India,6.2,5.904975124,6.161677788,5.968857054,5.916317992,6.052785647,5.90329013,6.144114637,5.9,5.887642419,6.183983573,5.903193613,5.995154185,6.090283401,5.946110057
Manoranjan,1974,"Comedies, International Movies, Music & Musicals",India,6.9,0,5.921218075,5.976638966,5.919771863,5.996394019,0,5.917322835,5.961230196,5.903938521,5.940469208,0,5.903193613,5.918731417,5.915232443
Mansfield Park,1999,"Comedies, Dramas, International Movies",United Kingdom,7.1,5.908946322,6.787337155,6.884295782,6.975319737,6.747281613,5.902097902,6.262049062,6.532858415,6.697219928,7.000008333,5.904975124,6.747058824,6.928913601,6.911400651
Maps to the Stars,2014,"Comedies, Dramas","Canada, Germany, France, United States",6.2,5.905179283,6.246351931,6.183588621,6.073393641,6.283636066,5.905179283,6.306349504,6.17842813,6.151417004,5.9,0,5.966865474,5.9,5.845289855
Maska,2020,"Comedies, Dramas, International Movies",India,5.9,5.906281157,5.9,5.873746313,5.90806142,5.9,5.906281157,5.917559769,5.876863951,5.907135969,5.872727273,0,5.8859375,5.880952381,5.901195219
Masoom,1983,"Dramas, Independent Movies, International Movies",India,8.4,0,6.797182217,7.588997898,6.168229588,7.677456647,0,6.724162837,7.514778325,6.103322259,6.562264151,0,6.063261481,6.370549085,5.968217054
Material,2012,"Comedies, Dramas, International Movies",South Africa,7.3,0,6.000091659,6.30329095,6.030431245,6.303715992,0,5.964546305,6.182467532,5.970446735,6.222147651,0,5.940900196,6.098180164,5.986239397
Matichya Chuli,2006,"Comedies, Dramas, International Movies",India,6.8,0,5.922986248,5.966855524,5.881510934,5.972356215,0,5.92173058,5.962559242,5.881510934,5.90199005,0,5.902097902,5.90438247,0
Max Rose,2013,"Dramas, Independent Movies",United States,6.2,0,5.918304432,5.886206897,5.975551783,5.947560976,0,5.911273081,5.888183422,5.959471366,5.921964782,0,5.905351833,5.89765625,5.923631124
Melvin Goes to Dinner,2003,"Comedies, Dramas, Independent Movies",United States,6.8,5.897205589,6.047485081,6.502937189,6.163046192,6.524765478,5.899100899,6.018165785,6.445284922,6.101328904,6.110464259,5.898101898,5.943930636,6.021965318,5.992673993
Men in Black,1997,"Action & Adventure, Comedies, Sci-Fi & Fantasy",United States,7.3,6.287878788,7.384642162,7.19405418,7.275838741,7.295736621,6.227128083,7.38125656,7.292387043,7.271141161,7.277023567,5.934951456,7.217811436,7.160721516,7.421315955
Men in Black II,2002,"Action & Adventure, Comedies, Sci-Fi & Fantasy",United States,6.2,5.994155844,6.392949803,5.999328111,6.19140475,6.099115663,5.962162162,6.293203982,5.999215779,6.189892864,6.386877329,5.919373777,6.541072481,6.185372276,6.476062323
Merantau,2009,"Action & Adventure, Dramas, International Movies",Indonesia,6.7,5.905383848,6.613764045,6.570361368,6.152597724,6.610283728,5.9000999,6.657195572,6.563783416,6.143326489,6.115235457,5.903096903,5.992100539,6.036392915,5.916981132
Michael,2011,"Dramas, Independent Movies, International Movies",India,5.3,0,5.907317073,5.862631077,5.892927308,5.868324125,0,5.907317073,5.861244019,5.897238659,5.898412698,0,0,5.903585657,5.89561753
Michael,2011,"Dramas, Independent Movies, International Movies",India,6.9,5.900299103,6.24512947,6.675324675,6.360916442,6.660994264,5.901197605,6.181868132,6.557416924,6.317927823,6.371069182,5.899100899,6.022797927,6.267822469,6.05333927
Middle Men,2009,"Comedies, Dramas, Independent Movies",United States,6.8,5.9000999,6.709071674,6.846658132,6.735506987,6.862175656,5.9000999,6.686431015,6.834136864,6.702734248,6.525476419,0,6.019230769,6.442129003,6.640764331
Milk,2008,"Dramas, Independent Movies, LGBTQ Movies",United States,7.5,5.943961353,7.637104721,7.481343501,7.33204983,7.484652278,5.929411765,7.51322989,7.475633528,7.315402403,7.647246564,5.910671937,7.603006739,7.610700997,7.342431466
Miracle,2004,"Children & Family Movies, Dramas, Sports Movies","Canada, United States",7.5,5.901185771,7.382386073,7.33172508,7.313084112,7.354441913,5.898019802,7.351752336,7.227738206,7.282874203,7.293362193,5.902097902,6.733816425,7.024517088,6.838343705
Miracle in Cell No. 7,2019,"Dramas, International Movies",Turkey,7.5,5.905970149,6.306860552,6.41598916,6.056640281,6.591374663,5.905970149,6.189346247,6.350574713,6.037209302,6.189932886,0,6.053753475,6.004672897,5.908284024
Mona Lisa Smile,2003,Dramas,United States,6.5,5.910344828,6.824840286,6.386671998,6.355939373,6.189439223,5.903193613,6.348178138,6.088678177,6.249469429,6.773793023,5.908910891,6.981446354,6.660772776,6.435950316
